n_active,exact,first_order,second_order,choices
5,17.77008689,20.7809561,53.96550932,11:9 13:12 17:12 23:22 29:28
5,23.489919050000005,25.57334384,58.757897060000005,11:9 13:12 17:12 23:22 29:27
5,25.0213694,26.906056099999997,60.090609320000006,11:9 13:12 17:12 23:22 29:4
5,20.83061304,44.873170827500005,48.544332502499984,11:9 13:12 17:12 23:22 29:3
5,19.235258639999998,41.757768027500006,47.811153622500015,11:9 13:12 17:12 23:22 29:5
5,18.509527799999997,40.2720129875,47.516510542500015,11:9 13:12 17:12 23:22 29:6
5,15.918947599999997,21.2019104,54.85206944000001,11:9 13:12 17:12 23:22 29:8
5,15.449026039999998,20.671443139999997,54.249655820000015,11:9 13:12 17:12 23:22 29:30
5,15.027068719999997,20.188940119999998,53.69520644000001,11:9 13:12 17:12 23:22 29:31
5,14.653075639999999,19.75440134,53.188721300000005,11:9 13:12 17:12 23:22 29:32
4,14.40050249,18.338816119999997,51.52336934,11:9 13:12 17:12 23:22 29:29
5,18.210224330000003,21.62167982,54.60598994000001,11:9 13:12 17:12 23:21 29:28
5,24.127448090000005,26.53252772,59.51683784000001,11:9 13:12 17:12 23:21 29:27
5,25.70119664,27.890624299999995,60.87493442000001,11:9 13:12 17:12 23:21 29:4
5,21.23331264,44.96505710750001,48.4359756825,11:9 13:12 17:12 23:21 29:3
5,19.59842736,41.8835000675,47.73664256250001,11:9 13:12 17:12 23:21 29:5
5,18.852931079999998,40.4146679075,47.45892236250002,11:9 13:12 17:12 23:21 29:6
5,16.17670064,21.664689799999998,55.442657720000014,11:9 13:12 17:12 23:21 29:8
5,15.687013639999998,21.15114542,54.80920274,11:9 13:12 17:12 23:21 29:30
5,15.245290879999999,20.68556528,54.223712000000006,11:9 13:12 17:12 23:21 29:31
5,14.85153236,20.26794938,53.68618550000001,11:9 13:12 17:12 23:21 29:32
4,14.64324833,19.06107968,52.0453898,11:9 13:12 17:12 23:21 29:29
5,18.77418305,22.562449700000002,55.392054560000005,11:9 13:12 17:12 23:20 29:28
5,24.888798410000003,27.591757760000004,60.42136262000001,11:9 13:12 17:12 23:20 29:27
5,26.504845160000002,28.97523866,61.804843520000006,11:9 13:12 17:12 23:20 29:4
5,21.75140016,45.156989547500004,48.47320286249999,11:9 13:12 17:12 23:20 29:3
5,20.076984,42.1092782675,47.80771550250001,11:9 13:12 17:12 23:20 29:5
5,19.31172228,40.6573689875,47.54691818250001,11:9 13:12 17:12 23:20 29:6
5,16.5498416,22.227515359999998,56.19294848000001,11:9 13:12 17:12 23:20 29:8
5,16.04038916,21.73089386,55.52845214000003,11:9 13:12 17:12 23:20 29:30
5,15.578900959999999,21.282236599999997,54.91192004,11:9 13:12 17:12 23:20 29:31
5,15.165377000000001,20.88154358,54.343352180000004,11:9 13:12 17:12 23:20 29:32
4,15.009815450000001,19.8833894,52.71299426,11:9 13:12 17:12 23:20 29:29
5,60.45435763000002,23.60326574000001,56.08372448,11:9 13:12 17:12 23:19 29:28
5,84.61544353000001,28.751033960000008,61.231492700000004,11:9 13:12 17:12 23:19 29:27
5,90.51558802000001,30.159899180000004,62.64035792,11:9 13:12 17:12 23:19 29:4
5,90.51558802000001,45.448968147500004,48.416035342499995,11:9 13:12 17:12 23:19 29:3
5,82.59905854,42.4351026275,47.784393742500015,11:9 13:12 17:12 23:19 29:5
5,78.82350712,41.000116227499994,47.54051930250002,11:9 13:12 17:12 23:19 29:6
5,63.87035358000001,22.89038708,56.86296302,11:9 13:12 17:12 23:19 29:8
5,60.74444952,22.41068846,56.167425320000014,11:9 13:12 17:12 23:19 29:30
5,57.74035434,21.97895408,55.51985186000001,11:9 13:12 17:12 23:19 29:31
5,54.85806804,21.595183940000002,54.92024264,11:9 13:12 17:12 23:19 29:32
4,41.84867221000001,20.805745280000004,53.28620402,11:9 13:12 17:12 23:19 29:29
5,62.89901359000002,25.9850363,58.380806599999985,11:9 13:12 17:12 23:18 29:28
5,87.56712349000001,31.369724840000003,63.765495139999985,11:9 13:12 17:12 23:18 29:27
5,93.57591598,32.8293587,65.22512899999998,11:9 13:12 17:12 23:18 29:4
5,93.57591598,46.333063827500006,49.215442582499996,11:9 13:12 17:12 23:18 29:3
5,85.5145225,43.3868898275,48.651492502500005,11:9 13:12 17:12 23:18 29:5
5,81.66653907999999,41.9857491875,48.4414638225,11:9 13:12 17:12 23:18 29:6
5,66.39951354000002,24.516268999999998,59.15908982,11:9 13:12 17:12 23:18 29:8
5,63.201177480000005,24.07041614,58.40146939999999,11:9 13:12 17:12 23:18 29:30
5,60.1246503,23.67252752,57.691813219999986,11:9 13:12 17:12 23:18 29:31
5,57.169932,23.32260314,57.03012127999999,11:9 13:12 17:12 23:18 29:32
4,43.786304170000015,22.95059552,55.346365819999995,11:9 13:12 17:12 23:18 29:29
5,64.23300817000003,27.32599082,59.77165214,11:9 13:12 17:12 23:16 29:28
5,89.15463007000002,32.82913952,65.27480083999998,11:9 13:12 17:12 23:16 29:27
5,95.21774656000001,34.314157699999996,66.75981902,11:9 13:12 17:12 23:16 29:4
5,95.21774656000001,46.92518090750001,49.8574506825,11:9 13:12 17:12 23:16 29:3
5,87.08392108000001,44.0128526675,49.32734636250002,11:9 13:12 17:12 23:16 29:5
5,83.19972166,42.6286349075,49.134240562500025,11:9 13:12 17:12 23:16 29:6
5,67.77576012000002,25.479279199999997,60.57063542,11:9 13:12 17:12 23:16 29:8
5,64.54120806000002,25.050349219999998,59.781973640000004,11:9 13:12 17:12 23:16 29:30
