tie1,open1,tie2,open2,cycles_overlap,exact_loss,surrogate_loss,abs_err,rel_err,max_flow_err
11,9,13,12,False,15.199836342500003,15.199836342500003,0.0,0.0,5.551115123125783e-17
11,9,13,14,False,15.000322542500003,15.000322542500003,0.0,0.0,5.551115123125783e-17
11,9,13,15,False,14.880055902500002,14.880055902500002,0.0,0.0,5.551115123125783e-17
11,9,13,16,False,14.758858662500003,14.758858662500003,0.0,0.0,5.551115123125783e-17
11,9,13,18,False,14.682413742500003,14.682413742500003,0.0,0.0,5.551115123125783e-17
11,9,13,19,False,14.663780862500003,14.663780862500003,0.0,0.0,5.551115123125783e-17
11,7,13,12,False,15.864991342500002,15.864991342500002,0.0,0.0,5.551115123125783e-17
11,7,13,14,False,15.665477542500001,15.665477542500001,0.0,0.0,5.551115123125783e-17
11,7,13,15,False,15.545210902500001,15.545210902500001,0.0,0.0,5.551115123125783e-17
11,7,13,16,False,15.4240136625,15.4240136625,0.0,0.0,5.551115123125783e-17
11,7,13,18,False,15.3475687425,15.3475687425,0.0,0.0,5.551115123125783e-17
11,7,13,19,False,15.328935862500002,15.328935862500002,0.0,0.0,5.551115123125783e-17
11,6,13,12,False,27.259987402500002,27.259987402500002,0.0,0.0,2.220446049250313e-16
11,6,13,14,False,27.060473602500004,27.060473602500004,0.0,0.0,2.220446049250313e-16
11,6,13,15,False,26.940206962500003,26.940206962500003,0.0,0.0,2.220446049250313e-16
11,6,13,16,False,26.819009722500002,26.819009722500002,0.0,0.0,2.220446049250313e-16
11,6,13,18,False,26.742564802500002,26.742564802500002,0.0,0.0,2.220446049250313e-16
11,6,13,19,False,26.723931922500004,26.723931922500004,0.0,0.0,2.220446049250313e-16
11,5,13,12,False,28.396649182500006,28.396649182500006,0.0,0.0,1.1102230246251565e-16
11,5,13,14,False,28.197135382500008,28.197135382500008,0.0,0.0,1.1102230246251565e-16
11,5,13,15,False,28.076868742500007,28.076868742500007,0.0,0.0,1.1102230246251565e-16
11,5,13,16,False,27.955671502500007,27.955671502500007,0.0,0.0,1.1102230246251565e-16
11,5,13,18,False,27.879226582500007,27.879226582500007,0.0,0.0,1.1102230246251565e-16
11,5,13,19,False,27.860593702500008,27.860593702500008,0.0,0.0,1.1102230246251565e-16
11,3,13,12,False,30.821937382500007,30.821937382500007,0.0,0.0,2.220446049250313e-16
11,3,13,14,False,30.62242358250001,30.62242358250001,0.0,0.0,2.220446049250313e-16
11,3,13,15,False,30.502156942500008,30.502156942500008,0.0,0.0,2.220446049250313e-16
11,3,13,16,False,30.380959702500007,30.380959702500007,0.0,0.0,2.220446049250313e-16
11,3,13,18,False,30.304514782500007,30.304514782500007,0.0,0.0,2.220446049250313e-16
11,3,13,19,False,30.28588190250001,30.28588190250001,0.0,0.0,2.220446049250313e-16
11,1,13,12,False,59.61765020250002,59.61765020250002,0.0,0.0,5.551115123125783e-17
11,1,13,14,False,59.418136402500025,59.418136402500025,0.0,0.0,5.551115123125783e-17
11,1,13,15,False,59.29786976250003,59.29786976250003,0.0,0.0,4.163336342344337e-17
11,1,13,16,False,59.17667252250003,59.17667252250003,0.0,0.0,1.3877787807814457e-17
11,1,13,18,False,59.10022760250003,59.10022760250003,0.0,0.0,0.0
11,1,13,19,False,59.08159472250003,59.08159472250003,0.0,0.0,0.0
11,2,13,12,False,23.5608159825,23.5608159825,0.0,0.0,5.551115123125783e-17
11,2,13,14,False,23.3613021825,23.3613021825,0.0,0.0,5.551115123125783e-17
11,2,13,15,False,23.2410355425,23.2410355425,0.0,0.0,4.163336342344337e-17
11,2,13,16,False,23.1198383025,23.1198383025,0.0,0.0,2.7755575615628914e-17
11,2,13,18,False,23.0433933825,23.0433933825,0.0,0.0,2.7755575615628914e-17
11,2,13,19,False,23.0247605025,23.0247605025,0.0,0.0,2.7755575615628914e-17
11,24,13,12,False,22.226515852500004,22.226515852500004,0.0,0.0,5.551115123125783e-17
11,24,13,14,False,22.027002052500002,22.027002052500002,0.0,0.0,5.551115123125783e-17
11,24,13,15,False,21.906735412500005,21.906735412500005,0.0,0.0,4.163336342344337e-17
11,24,13,16,False,21.785538172500004,21.785538172500004,0.0,0.0,2.7755575615628914e-17
11,24,13,18,False,21.709093252500004,21.709093252500004,0.0,0.0,2.7755575615628914e-17
11,24,13,19,False,21.690460372500002,21.690460372500002,0.0,0.0,2.7755575615628914e-17
11,25,13,12,False,21.006189202500007,21.006189202500007,0.0,0.0,5.551115123125783e-17
11,25,13,14,False,20.806675402500005,20.806675402500005,0.0,0.0,5.551115123125783e-17
